Color ResponseRate
blue 23
blue 25
blue 25
blue 28
blue 25
blue 26
blue 23
blue 27
blue 23
blue 24
blue 25
blue 25
blue 24
blue 27
green 30
green 30
green 29
green 32
green 27
green 37
green 29
green 32
green 31
green 32
green 28
green 29
green 28
green 31
orange 21
orange 25
orange 24
orange 29
orange 24
orange 24
orange 22
orange 23
orange 25
orange 25
orange 27
orange 27
orange 24
orange 28
orange 19
white 22
white 18
white 24
white 19
white 24
white 20
white 14
white 19
white 15
white 21
white 26
white 13
white 23
white 16
