Brand	TreadLife
1	56.7
1	56.1
1	59.7
1	59.9
1	58
1	57.3
1	57.2
1	58
1	57
1	57.7
1	59.1
1	58.9
1	57.7
1	57.7
1	57.6
1	59.7
1	55.6
1	56.9
1	57.9
1	58.6
2	61.1
2	59.5
2	59.2
2	61.6
2	56.2
2	62.5
2	57.7
2	63
2	61.1
2	58.3
2	60.3
2	57.5
2	61.5
2	60.8
2	59.7
2	59.8
2	58.7
2	59.3
2	60.3
2	55.8
2	57.5
3	63.9
3	60.5
3	64.1
3	59.1
3	58.4
3	59.2
3	57.4
3	59.8
3	61.6
3	58.9
3	57.2
3	60.5
3	56.1
3	58.9
3	58.3
3	60.4
3	58.3
3	60.1
3	56.7
4	53.7
4	56.3
4	55.2
4	59.1
4	57
4	57.2
4	58
4	55.1
4	54.7
4	57.9
4	56.4
4	51.7
4	56.7
4	56.4
4	58.7
4	57.4
4	57.6
4	59.7
4	58.4
4	53.1
4	55.4
4	57.6
